Kontext;Quelle;Anforderungs Nr.;Titel;Beschreibung;Verbindlichkeit;Pruefverfahren;Thema;Schwerpunkt
eRp;gemSpec_eRp_FdV;A_19220;E-Rezept-FdV: E-Rezept löschen - Bestätigung;"Das E-Rezept-FdV MUSS vom Nutzer eine Bestätigung einholen, dass die
selektierten E-Rezepte gelöscht werden sollen und die Möglichkeit geben, das
Löschen abzubrechen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept löschen;unknown
eRp;gemSpec_eRp_FdV;A_19221-01;E-Rezept-FdV: E-Rezepte löschen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.2 - E-Rezept durch Versicherten
löschen"" aus [gemSysL_eRp] gemäß TAB_FdVERP_008 umsetzen. 

Tabelle # : TAB_FdVERP_008 – E-Rezepte löschen

NameE-Rezepte löschen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
AkteurVersicherter
Vorbedingung
 * Der Nutzer hat ein oder mehrere E-Rezepte zum Löschen markiert und das
Löschen bestätigt.
 * Der Nutzer hat sich gegenüber der TI authentisiert.
Nachbedingung
 * Die ausgewählten E-Rezepte sind vom E-Rezept-Fachdienst unwiederbringlich
gelöscht.
Standardablauf
 * Für jedes E-Rezept:
 *
 * Task-ID und AccessCode des E-Rezepts bestimmen
 * E-Rezept löschen
 * E-Rezept-Token löschen";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept löschen;unknown
eRp;gemSpec_eRp_FdV;A_19222;E-Rezept-FdV: E-Rezept löschen - Löschrequest;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezepte löschen"" für jedes zu
löschende E-Rezept die HTTP-OperationPOST /Task/<id>/$abort des
E-Rezept-Fachdienstes mit
 * ACCESS_TOKEN im Authorization-Header
 * Task-ID in URL <id>
 * optional: AccessCode im x-AccessCode-Headerausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept löschen;unknown
eRp;gemSpec_eRp_FdV;A_19223;E-Rezept-FdV: E-Rezept löschen - E-Rezept-Token löschen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezepte löschen"" für jedes zu
löschende E-Rezept nach erfolgreichem Aufruf der Operation ""Ein E-Rezept
löschen"" die Daten zum E-Rezept-Token lokal löschen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept löschen;unknown
eRp;gemSpec_eRp_FdV;A_21362-01;E-Rezept-FdV: E-Rezept löschen - Flowtype 169 / 209 - nur wenn beliefert;"Das E-Rezept-FdV DARF dem Nutzer das Löschen von E-Rezepten mit dem Flowtype
169 oder 209 NICHT ermöglichen, wenn der Task einen Status ungleich ""completed""
hat.";DARF NICHT;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF E-Rezept löschen;unknown
eRp;gemSpec_eRp_FdV;A_19197;E-Rezept-FdV: E-Rezept zuweisen - Apotheke auswählen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezept einer Apotheke zuweisen"" es
dem Nutzer ermöglichen, eine Apotheke zum Zuweisen des E-Rezepts auszuwählen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_19198;E-Rezept-FdV: E-Rezept zuweisen - E-Rezept auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein E-Rezept für das Zuweisen
an eine Apotheke zu markieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_19199;E-Rezept-FdV: E-Rezept zuweisen - freie Textnachricht;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine freie Textnachricht zu
erfassen, welche der Nachricht an die Apotheke hinzugefügt wird.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_19200;E-Rezept-FdV: E-Rezept einer Apotheke zuweisen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.3 - Nachricht durch Versicherten
übermitteln"" aus [gemSysL_eRp] für das Zuweisen eines E-Rezepts gemäß
TAB_FdVERP_010 umsetzen.
 Tabelle # : TAB_FdVERP_010 – E-Rezept einer Apotheke zuweisen

Name E-Rezept einer Apotheke zuweisen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter, Vertreter
Vorbedingung
 * Ein E-Rezept ist im E-Rezept-Frontend lokal gespeichert.
 * Der Status des Task ist ""offen"".
 * Die Telematik-ID der ausgewählten abgebenden LEI ist bekannt.
 * Die Authentisierung des Nutzers ist erfolgt
Nachbedingung
 * Das E-Rezept wurde der Apotheke zur Einlösung zugewiesen
Standardablauf
 * E-Rezept-Token erstellen
 * Nachricht erstellen
 * Nachricht auf dem E-Rezept-Fachdienst einstellen
Varianten / Alternativen
 * 2D-Code anzeigen ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_19201-01;E-Rezept-FdV: E-Rezept zuweisen - Nachricht erstellen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezept einer Apotheke zuweisen"" eine
FHIR RessourceCommunication des Profils 
https://gematik.de/fhir/erp/StructureDefinition/GEM_ERP_PR_Communication_DispReq
 
<https://gematik.de/fhir/erp/StructureDefinition/GEM_ERP_PR_Communication_DispReq>
 mit 

 * Telematik-ID der ausgewählten abgebenden LEI in recipient
 * Textnachricht in payload contentString
 * E-Rezept-Token in basedOn reference auf Task inkl. AccessCode als
""/Task/<id>/$accept?ac=..."" erstellen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_19203;E-Rezept-FdV: E-Rezept zuweisen - Nachricht auf E-Rezept-Fachdienst einstellen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezept einer Apotheke zuweisen"" zur
Übergabe des Tokens an die einlösende Apotheke die HTTP-OperationPOST
/Communication  mit
 * ACCESS_TOKEN im Authorization-Header
 * Communication Ressource in HTTP-Request-Bodyausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_20011;E-Rezept-FdV: Textnachricht ohne Link;"Das E-Rezept-FdV MUSS prüfen, dass die durch den Nutzer erfasst Textnachricht
keinen Internet-Link und keine  Non-Printable-Characters enthält und die
Textnachricht nur bei erfolgreicher Prüfung weiterverarbeiten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_21374;E-Rezept-FdV: E-Rezept zuweisen - Warenkorb-URL zu Bestellplattform empfangen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine externe URL in einer von
einer Apotheke empfangenen Communication-Nachricht zu öffnen.";MUSS;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_21403-01;E-Rezept-FdV: E-Rezept zuweisen - Flowtype 169 / 209 - Zuweisen nicht zulässig;"Das E-Rezept-FdV DARF es dem Nutzer NICHT ermöglichen, ein E-Rezept mit dem
Flowtype 169 oder 209 an eine Apotheke zuzuweisen.";DARF NICHT;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF E-Rezept zuweisen;unknown
eRp;gemSpec_eRp_FdV;A_19346;E-Rezept-FdV: E-Rezepte herunterladen;"Das E-Rezept-FdV MUSS die  Anwendungsfälle ""UC 3.1 - E-Rezepte durch
Versicherten abrufen"" und ""UC 3.6 - E-Rezept durch Vertreter abrufen"" aus
[gemSysL_eRp] gemäß TAB_FdVERP_007 umsetzen. 
Tabelle # : TAB_FdVERP_007 – E-Rezepte abrufen

Name
E-Rezepte abrufen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
 * periodischer Aufruf
AkteurVersicherter, Vertreter
Vorbedingung
 * Authentisierung des Nutzers ist erfolgt
 * für Alternative 1 und 2:
 *
 * Der AccessCode des E-Rezepts ist bekannt
Nachbedingung
 * Die E-Rezepte können angezeigt werden
 * E-Rezept-Token für die E-Rezepte können generiert werden
Standardablauf
 * E-Rezepte herunterladen
 * Für jedes E-Rezept:
 *
 * E-Rezept decodieren
 * Signatur prüfen
 * E-Rezepte lokal speichern
 * E-Rezepte anzeigen
Alternative 1Ein spezifisches E-Rezept durch Nutzer abrufen
 * Task-ID bestimmen
 * Einzelnes E-Rezept herunterladen
 * analog ab Schritt 2 im Standardablauf
Alternative 2Ein spezifisches E-Rezept mit AccessCode abrufen

 * Task-ID und AccessCode bestimmen
 * Einzelnes E-Rezept herunterladen
 * analog Schritt 2 im Standardablauf";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte empfangen;unknown
eRp;gemSpec_eRp_FdV;A_19347;E-Rezept-FdV: E-Rezept herunterladen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezepte empfangen"" zum Herunterladen
alle E-Rezepte des Nutzers die HTTP-OperationGET /Task mit
 * ACCESS_TOKEN im Authorization-Headerausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte empfangen;unknown
eRp;gemSpec_eRp_FdV;A_19348;E-Rezept-FdV: E-Rezept im E-Rezept-FdV speichern;"Das E-Rezept-FdV MUSS es dem Versicherten ermöglichen, die vom
E-Rezept-Fachdienst heruntergeladenen E-Rezepte im lokalen Speicher persistent
abzulegen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte empfangen;unknown
eRp;gemSpec_eRp_FdV;A_19350;E-Rezept-FdV: Spezifisches E-Rezept herunterladen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezepte empfangen"" zum Herunterladen
eines spezifischen E-Rezepts des Nutzers die HTTP-OperationGET /Task/<id> mit
 * ACCESS_TOKEN im Authorization-Header
 * Task-ID in URL <id>  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte empfangen;unknown
eRp;gemSpec_eRp_FdV;A_19351;E-Rezept-FdV: E-Rezept mit AccessCode herunterladen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""E-Rezepte empfangen"" zum Herunterladen
eines E-Rezepts als Vertreter die HTTP-OperationGET /Task/<id> mit
 * ACCESS_TOKEN im http-Header
 * Task-ID in URL <id>
 * AccessCode im http-Headerausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte empfangen;unknown
eRp;gemSpec_eRp_FdV;A_20053;E-Rezept-FdV: FHIR-Signatur prüfen;"Das E-Rezept-FdV MUSS die FHIR-Signatur des E-Rezept-Bundles aus dem vom
E-Rezept-Fachdienst heruntergeladenen E-Rezept gemäß [RFC7515#5.2] prüfen und
bei negativer Prüfung die Verarbeitung abbrechen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte empfangen;unknown
eRp;gemSpec_eRp_FdV;A_19227;E-Rezept-FdV: E-Rezepte lokal löschen - E-Rezepte zum Löschen auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein oder mehrere E-Rezepte aus
der Übersicht aller E-Rezepte zum Löschen im E-Rezept-FdV zu markieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte lokal löschen;unknown
eRp;gemSpec_eRp_FdV;A_19228;E-Rezept-FdV: E-Rezepte lokal löschen - Bestätigung;"Das E-Rezept-FdV MUSS vom Nutzer eine Bestätigung einholen, dass die
selektierten E-Rezepte lokal gelöscht werden sollen und die Möglichkeit geben,
das Löschen abzubrechen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezepte lokal löschen;unknown
eRp;gemSpec_eRp_FdV;A_19229;E-Rezept-FdV: E-Rezepte lokal löschen - Löschen;"Das E-Rezept-FdV MUSS alle Daten, d.h. die E-Rezept Daten als auch alle damit
verknüpften Daten, zu den lokal zu löschenden E-Rezepten im E-Rezept-FdV
löschen.";MUSS;"Festlegungen zur sicherheitstechnischen Eignung ""Produktgutachten""";AF E-Rezepte lokal löschen;unknown
eRp;gemSpec_eRp_FdV;A_19474;E-Rezept-FdV: 2D-Code anzeigen;"Das E-Rezept-FdV MUSS mit den erstellten E-Rezept-Token 2D-Codes erstellen und
auf dem Display des Endgerätes anzeigen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_DM_eRp;A_19543;Generierung DataMatrix-Code;"Das E-Rezept-FdV und das PS der verordnenden LEI MÜSSEN die Datenstruktur
für 2D-Code-Daten in eine DataMatrix-Darstellung gemäß ISO/IEC 16022:2006
überführen können.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_DM_eRp;A_19553-01;Generierung 2D-Code als Sammlung;"Das E-Rezept-FdV MUSS eine Sammlung von einer und bis zu drei
E-Rezept-Referenzen als Array in JSON-Notation gemäß [JSON] der folgenden Form


 * 2D-Code-Daten = { ""urls"": [ ""E-Rezept 1"", ""E-Rezept 2"", ""E-Rezept 3"" ] }
zusammenfassen, um daraus einen 2D-Code generieren zu können.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_DM_eRp;A_19554;Datenstruktur Einlöseinformationen für E-Rezept;"Das E-Rezept-FdV und das PS der verordnenden LEI MÜSSEN zum Erstellen eines
E-Rezept-Token die ID auf einen Task zusammen mit dem AccessCode des Tasks aus
den lokal verfügbaren Informationen eines E-Rezepts als URL in der Form:

 * 2D-Code-Daten = ""Task/"" + Task.id  + ""/$accept?ac="" + AccessCode 
zusammenstellen, damit diese Zeichenkette als Referenz in einer
E-Rezept-Nachricht und in einem JSON-Array für die Generierung eines 2D-Codes
verwendet werden kann.";"Das E-Rezept-FdV und das PS der verordnenden LEI MÜSSEN zum Erstellen eines
E-Rezept-Token die ID auf einen Task zusammen mit dem AccessCode des Tasks aus
den lokal verfügbaren Informationen eines E-Rezepts als URL in der Form:

 * 2D-Code-Daten = ""Task/"" + Task.id  + ""/$accept?ac="" + AccessCode 
zusammenstellen, damit diese Zeichenkette als Referenz in einer
E-Rezept-Nachricht und in einem JSON-Array für die Generierung eines 2D-Codes
verwendet werden kann.";"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_19668;E-Rezept-FdV: 2D-Code anzeigen - E-Rezepte auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, lokal gespeicherte E-Rezepte
für die Anzeige in einem 2D-Code auszuwählen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_19669;E-Rezept-FdV: 2D-Code anzeigen - E-Rezept-Token erstellen;"Das E-Rezept-FdV MUSS für die ausgewählten E-Rezepte die E-Rezept-Token
erstellen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_19671;E-Rezept-FdV: 2D-Code anzeigen - Kontrast;"Das E-Rezept-FdV MUSS die Anzeige eines 2D-Codes auf dem Display des Geräts des
Versicherten mit einem hohen Kontrast (dunkle Farbe auf hellem Hintergrund)
darstellen, damit Lesegeräte den 2D-Code zuverlässig erkennen können.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_19672;E-Rezept-FdV: 2D-Code anzeigen - Ruhebereich;"Das E-Rezept-FdV MUSS die Anzeige eines 2D-Codes auf dem Display des Geräts des
Versicherten mit einem Ruhebereich von weißer Farbe von mindestens doppelter
Breite eines Punktes des 2D-Codes darstellen, damit Lesegeräte den 2D-Code
zuverlässig von sonstigen Informationen auf dem Display unterscheiden können.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_20181;E-Rezept-FdV: 2D-Code anzeigen - personenbezogene Daten;"Das E-Rezept-FdV DARF NICHT personenbezogene Daten zusammen mit der Anzeige des
2D-Codes anzeigen.";DARF NICHT;"Festlegungen zur sicherheitstechnischen Eignung ""Produktgutachten""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_21401-01;E-Rezept-FdV: 2D-Code anzeigen - Flowtype 169 / 209 - Anzeige nicht zulässig;"Das E-Rezept-FdV DARF es dem Nutzer NICHT ermöglichen, einen E-Rezept-Token für
ein E-Rezept mit dem Flowtype 169 oder 209 zu erstellen und anzuzeigen.";DARF NICHT;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF E-Rezept-Token als 2D-Code;unknown
eRp;gemSpec_eRp_FdV;A_19624;E-Rezept-FdV: Nachrichten lokal verwalten;"Das E-Rezept-FdV MUSS ein Löschen für die im lokalen Speicher persistent
ablegten Nachrichten anbieten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten löschen;unknown
eRp;gemSpec_eRp_FdV;A_21523;E-Rezept-FdV: Nachrichten löschen - Nachrichten zum Löschen auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein oder mehrere Nachrichten
zum Löschen auf dem E-Rezept-Fachdienst zu markieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten löschen;unknown
eRp;gemSpec_eRp_FdV;A_21524;E-Rezept-FdV: Nachrichten löschen - Bestätigung;"Das E-Rezept-FdV MUSS vom Nutzer eine Bestätigung einholen, dass die
selektierten Nachrichten gelöscht werden sollen und die Möglichkeit geben, das
Löschen abzubrechen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten löschen;unknown
eRp;gemSpec_eRp_FdV;A_21525;E-Rezept-FdV: Nachrichten löschen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.8 - Nachricht durch Versicherten
löschen"" aus [gemSysL_eRp] gemäß TAB_FdVERP_018 umsetzen.
 Tabelle # : TAB_FdVERP_018 – Nachrichten löschen

Name Nachrichten löschen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung
 * Der Nutzer hat ein oder mehrere Nachrichten zum Löschen markiert und das
Löschen bestätigt.
 * Der Nutzer ist gegenüber der TI authentifiziert.
Nachbedingung Die Nachrichten sind im E-Rezept-Fachdienst unwiederbringlich
gelöscht.
Standardablauf
 * Für jede Nachricht:

 * Communication-ID der Nachricht bestimmen

 * Nachricht löschen";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten löschen;unknown
eRp;gemSpec_eRp_FdV;A_21526;E-Rezept-FdV: Nachrichten löschen - Löschrequest;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Nachrichten löschen"" für jede zu
löschende Nachricht die HTTP-OperationDELETE /Communication/<id> des
E-Rezept-Fachdienstes mit
 * ACCESS_TOKEN im Authorization-Header
 * Communication-ID in URL <id>  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten löschen;unknown
eRp;gemSpec_eRp_FdV;A_19204-01;E-Rezept-FdV: Nachrichten von Apotheken anzeigen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.4 - Nachrichten durch
Versicherten empfangen"" aus [gemSysL_eRp] gemäß TAB_FdVERP_012 umsetzen.
 Tabelle # : TAB_FdVERP_012 – Nachrichten durch Versicherten empfangen

Name Nachrichten von Apotheken anzeigen
Auslöser regelmäßiger Task im Hintergrund für die Dauer der TI-Session (12h)
Akteur Versicherter, Vertreter
Vorbedingung Der Nutzer ist gegenüber der TI authentifiziert.

Nachbedingung Die Nachrichten liegen entschlüsselt im E-Rezept-FdV
Standardablauf
 * Nachrichten herunterladen

 * Nachrichten lokal speichern

 * Nachrichten anzeigen";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten von Apotheke anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19205;E-Rezept-FdV: Nachrichten anzeigen - Nachrichten herunterladen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Nachrichten von Apotheken anzeigen""
zum Herunterladen von Nachrichten vom E-Rezept-Fachdienst die HTTP-OperationGET
/Communication  mit

 * ACCESS_TOKEN im Authorization-Header
 * optional: ?received=null für nur ungelesene Nachrichten
 * optional: ?received=gtYYYY-MM-DD_sort=sent für Nachrichten jünger als Datum
DD.MM.YYY  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten von Apotheke anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19207;E-Rezept-FdV: Nachrichten anzeigen - Nachricht speichern;"Das E-Rezept-FdV MUSS die vom E-Rezept-Fachdienst heruntergeladenen Nachrichten
im lokalen Speicher persistent ablegen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten von Apotheke anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19208;E-Rezept-FdV: Nachrichten anzeigen - Anzeigen;"Das E-Rezept-FdV MUSS die vom E-Rezept-Fachdienst heruntergeladenen Nachrichten
in geeigneter Weise anzeigen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Nachrichten von Apotheke anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19209;E-Rezept-FdV: Protokolldaten anzeigen;"Das E-Rezept-FdV MUSS den Anwendungsfall ""UC 3.5 - Protokolldaten abrufen"" aus
[gemSysL_eRp] gemäß TAB_FdVERP_014 umsetzen.
 Tabelle # : TAB_FdVERP_014 – Protokolldaten anzeigen

Name Protokolldaten anzeigen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
Akteur Versicherter
Vorbedingung Der Nutzer ist gegenüber der TI authentifiziert.
Nachbedingung Die Protokolldaten werden angezeigt
Standardablauf
 * Protokolleinträge vom E-Rezept-Fachdienst abrufen
 * Protokolleinträge anzeigen
Varianten / Alternativen Als Alternative zur Abfrage aller Protokolleinträge
können die Protokolleinträge zu einer spezifischen Task-ID abgefragt werden. ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Protokolldaten anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19210;E-Rezept-FdV: Protokolldaten anzeigen - Protokolleinträge abrufen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Protokolldaten anzeigen"" zum Abrufen
der Protokolleinträge vom E-Rezept-Fachdienst die HTTP-OperationGET /AuditEvent
mit 

 * ACCESS_TOKEN im Authorization-Header  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Protokolldaten anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19211;E-Rezept-FdV: Protokolldaten anzeigen - Anzeigen;"Das E-Rezept-FdV MUSS eine Anzeige für die Protokolldaten umsetzten, in der die
Protokolleinträge übersichtlich dargestellt werden.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Protokolldaten anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19482;E-Rezept-FdV: Beenden der TI-Session;"Das E-Rezept-FdV MUSS zum Beenden der TI-Session

 * bestehende TLS-Verbindungen zu den Diensten der TI abbauen,
 * die Schlüssel für die sichere Verbindung zur VAU des E-Rezept-Fachdienstes
löschen und
 * alle ACCESS_TOKEN und ACCESS_CODE löschen.";MUSS;"Festlegungen zur funktionalen Eignung ""Herstellererklärung""";AF TI-Session beenden;unknown
eRp;gemSpec_eRp_FdV;A_19472;E-Rezept-FdV: Expliziter Start TI-Session;"Das E-Rezept-FdV MUSS, falls das automatische TI-Login in den
Konfigurationseinstellungen aktiviert ist, nach Start der App-Session die
TI-Session starten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF TI-Session starten;unknown
eRp;gemSpec_eRp_FdV;A_20035;E-Rezept-FdV: TI-Session starten;"Das E-Rezept-FdV MUSS zum Start der TI-Session die Aktivität ""Authentisierung
des Nutzers gegenüber TI""  ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF TI-Session starten;unknown
eRp;gemSpec_eRp_FdV;A_20117;E-Rezept-FdV: Authentisierung wenn kein gültiger ACCESS_CODE;"Das E-Rezept-FdV MUSS, falls für den Aufruf des E-Rezept-Fachdienstes kein
gültiger ACCESS_TOKEN  sowie kein gültiger ACCESS_CODE vorliegt, die TI-Session
starten.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF TI-Session starten;unknown
eRp;gemSpec_eRp_FdV;A_20232;E-Rezept-FdV: Vertreterkommunikation - KVNR des Vertreters erfassen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, die KVNR des Empfängers der
Nachricht zu erfassen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Vertreterkommunikation;unknown
eRp;gemSpec_eRp_FdV;A_20233;E-Rezept-FdV: Vertreterkommunikation - E-Rezept auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein E-Rezept für die
Kommunikation mit dem Vertreter auszuwählen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Vertreterkommunikation;unknown
eRp;gemSpec_eRp_FdV;A_20234;E-Rezept-FdV: Vertreterkommunikation - freie Textnachricht;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, eine freie Textnachricht zu
erfassen, welche der Nachricht an den Vertreter hinzugefügt wird.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Vertreterkommunikation;unknown
